#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A41F6B,,,
#Date Time: 2024-01-30 16:46:34.380,,,
#Sample rate: 4000Hz,,,
#Samples: 7279,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.2 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 1 V/div Offset: 500 mV Attenuation: 1 X Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 500 mV Attenuation: 1 X Sample Mode: Average,,,
#Math 1: Function: C2 * ( 0.0010067),,,
,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: RampUp,,,
#Frequency: 1 Hz,,,
#Period: 1 s,,,
#Amplitude: 5 V,,,
#Offset: 0 V,,,
#Symmetry: 100 %,,,
#Phase: 0 °,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.8985,-5.046135588,-0.005356267,-5.39E-06
-0.89825,-5.042484607,-0.005356267,-5.39E-06
-0.898,-5.038833625,-0.001689177,-1.70E-06
-0.89775,-5.038833625,-0.005356267,-5.39E-06
-0.8975,-5.035182644,-0.005356267,-5.39E-06
-0.89725,-5.031531662,-0.005356267,-5.39E-06
-0.897,-5.027880681,-0.005356267,-5.39E-06
-0.89675,-5.027880681,-0.005356267,-5.39E-06
-0.8965,-5.024229699,-0.005356267,-5.39E-06
-0.89625,-5.020578717,-0.005356267,-5.39E-06
-0.896,-5.020578717,-0.005356267,-5.39E-06
-0.89575,-5.016927736,-0.005356267,-5.39E-06
-0.8955,-5.013276754,-0.005356267,-5.39E-06
-0.89525,-5.013276754,-0.005356267,-5.39E-06
-0.895,-5.009625773,-0.005356267,-5.39E-06
-0.89475,-5.005974791,-0.005356267,-5.39E-06
-0.8945,-5.00232381,-0.005356267,-5.39E-06
-0.89425,-5.00232381,-0.005356267,-5.39E-06
-0.894,-4.998672828,-0.001689177,-1.70E-06
-0.89375,-4.995021847,-0.005356267,-5.39E-06
-0.8935,-4.995021847,-0.005356267,-5.39E-06
-0.89325,-4.991370865,-0.005356267,-5.39E-06
-0.893,-4.987719883,-0.005356267,-5.39E-06
-0.89275,-4.987719883,-0.005356267,-5.39E-06
-0.8925,-4.984068902,-0.005356267,-5.39E-06
-0.89225,-4.98041792,-0.001689177,-1.70E-06
-0.892,-4.976766939,-0.001689177,-1.70E-06
-0.89175,-4.976766939,-0.005356267,-5.39E-06
-0.8915,-4.973115957,-0.005356267,-5.39E-06
-0.89125,-4.969464976,-0.005356267,-5.39E-06
-0.891,-4.969464976,-0.005356267,-5.39E-06
-0.89075,-4.965813994,-0.005356267,-5.39E-06
-0.8905,-4.962163012,-0.005356267,-5.39E-06
-0.89025,-4.958512031,-0.005356267,-5.39E-06
-0.89,-4.958512031,-0.005356267,-5.39E-06
-0.88975,-4.954861049,-0.005356267,-5.39E-06
-0.8895,-4.951210068,-0.005356267,-5.39E-06
-0.88925,-4.951210068,-0.005356267,-5.39E-06
-0.889,-4.947559086,-0.005356267,-5.39E-06
-0.88875,-4.943908105,-0.005356267,-5.39E-06
-0.8885,-4.943908105,-0.005356267,-5.39E-06
-0.88825,-4.940257123,-0.005356267,-5.39E-06
-0.888,-4.936606142,-0.005356267,-5.39E-06
-0.88775,-4.93295516,-0.005356267,-5.39E-06
-0.8875,-4.93295516,-0.005356267,-5.39E-06
-0.88725,-4.929304178,-0.005356267,-5.39E-06
-0.887,-4.925653197,-0.005356267,-5.39E-06
-0.88675,-4.925653197,-0.005356267,-5.39E-06
-0.8865,-4.922002215,-0.005356267,-5.39E-06
-0.88625,-4.918351234,-0.005356267,-5.39E-06
-0.886,-4.914700252,-0.005356267,-5.39E-06
-0.88575,-4.914700252,-0.005356267,-5.39E-06
-0.8855,-4.911049271,-0.005356267,-5.39E-06
-0.88525,-4.907398289,-0.005356267,-5.39E-06
-0.885,-4.907398289,-0.005356267,-5.39E-06
-0.88475,-4.903747307,-0.005356267,-5.39E-06
-0.8845,-4.900096326,-0.005356267,-5.39E-06
-0.88425,-4.900096326,-0.005356267,-5.39E-06
-0.884,-4.896445344,-0.005356267,-5.39E-06
-0.88375,-4.892794363,-0.005356267,-5.39E-06
-0.8835,-4.892794363,-0.005356267,-5.39E-06
-0.88325,-4.889143381,-0.001689177,-1.70E-06
-0.883,-4.8854924,-0.005356267,-5.39E-06
-0.88275,-4.881841418,-0.005356267,-5.39E-06
-0.8825,-4.881841418,-0.001689177,-1.70E-06
-0.88225,-4.878190437,-0.001689177,-1.70E-06
-0.882,-4.874539455,-0.005356267,-5.39E-06
-0.88175,-4.874539455,-0.005356267,-5.39E-06
-0.8815,-4.870888473,-0.005356267,-5.39E-06
-0.88125,-4.870888473,-0.005356267,-5.39E-06
-0.881,-4.867237492,-0.005356267,-5.39E-06
-0.88075,-4.86358651,-0.005356267,-5.39E-06
-0.8805,-4.86358651,-0.005356267,-5.39E-06
-0.88025,-4.859935529,-0.005356267,-5.39E-06
-0.88,-4.856284547,-0.005356267,-5.39E-06
-0.87975,-4.852633566,-0.005356267,-5.39E-06
-0.8795,-4.852633566,-0.005356267,-5.39E-06
-0.87925,-4.848982584,-0.005356267,-5.39E-06
-0.879,-4.845331603,-0.005356267,-5.39E-06
-0.87875,-4.845331603,-0.005356267,-5.39E-06
-0.8785,-4.841680621,-0.005356267,-5.39E-06
-0.87825,-4.841680621,-0.005356267,-5.39E-06
-0.878,-4.838029639,-0.005356267,-5.39E-06
-0.87775,-4.834378658,-0.005356267,-5.39E-06
-0.8775,-4.834378658,-0.005356267,-5.39E-06
-0.87725,-4.830727676,-0.005356267,-5.39E-06
-0.877,-4.827076695,-0.005356267,-5.39E-06
-0.87675,-4.823425713,-0.005356267,-5.39E-06
-0.8765,-4.823425713,-0.005356267,-5.39E-06
-0.87625,-4.819774732,-0.005356267,-5.39E-06
-0.876,-4.81612375,-0.005356267,-5.39E-06
-0.87575,-4.812472768,-0.005356267,-5.39E-06
-0.8755,-4.812472768,-0.005356267,-5.39E-06
-0.87525,-4.808821787,-0.005356267,-5.39E-06
-0.875,-4.805170805,-0.005356267,-5.39E-06
-0.87475,-4.805170805,-0.005356267,-5.39E-06
-0.8745,-4.801519824,-0.005356267,-5.39E-06
-0.87425,-4.797868842,-0.005356267,-5.39E-06
-0.874,-4.797868842,-0.005356267,-5.39E-06
-0.87375,-4.794217861,-0.005356267,-5.39E-06
-0.8735,-4.790566879,-0.001689177,-1.70E-06
-0.87325,-4.790566879,-0.005356267,-5.39E-06
-0.873,-4.786915898,-0.005356267,-5.39E-06
-0.87275,-4.786915898,-0.005356267,-5.39E-06
-0.8725,-4.783264916,-0.005356267,-5.39E-06
-0.87225,-4.783264916,-0.005356267,-5.39E-06
-0.872,-4.779613934,-0.005356267,-5.39E-06
-0.87175,-4.775962953,-0.005356267,-5.39E-06
-0.8715,-4.775962953,-0.005356267,-5.39E-06
-0.87125,-4.772311971,-0.005356267,-5.39E-06
-0.871,-4.76866099,-0.005356267,-5.39E-06
-0.87075,-4.76866099,-0.005356267,-5.39E-06
-0.8705,-4.765010008,-0.005356267,-5.39E-06
-0.87025,-4.761359027,-0.005356267,-5.39E-06
-0.87,-4.757708045,-0.005356267,-5.39E-06
-0.86975,-4.757708045,-0.005356267,-5.39E-06
-0.8695,-4.754057064,-0.005356267,-5.39E-06
-0.86925,-4.754057064,-0.005356267,-5.39E-06
-0.869,-4.750406082,-0.005356267,-5.39E-06
-0.86875,-4.7467551,-0.005356267,-5.39E-06
-0.8685,-4.743104119,-0.005356267,-5.39E-06
-0.86825,-4.743104119,-0.005356267,-5.39E-06
-0.868,-4.739453137,-0.005356267,-5.39E-06
-0.86775,-4.735802156,-0.005356267,-5.39E-06
-0.8675,-4.735802156,-0.005356267,-5.39E-06
-0.86725,-4.732151174,-0.005356267,-5.39E-06
-0.867,-4.728500193,-0.005356267,-5.39E-06
-0.86675,-4.728500193,-0.005356267,-5.39E-06
-0.8665,-4.724849211,-0.005356267,-5.39E-06
-0.86625,-4.724849211,-0.005356267,-5.39E-06
-0.866,-4.721198229,-0.005356267,-5.39E-06
-0.86575,-4.717547248,-0.005356267,-5.39E-06
-0.8655,-4.713896266,-0.005356267,-5.39E-06
-0.86525,-4.713896266,-0.005356267,-5.39E-06
-0.865,-4.710245285,-0.005356267,-5.39E-06
-0.86475,-4.706594303,-0.005356267,-5.39E-06
-0.8645,-4.702943322,-0.005356267,-5.39E-06
-0.86425,-4.702943322,-0.005356267,-5.39E-06
-0.864,-4.69929234,-0.005356267,-5.39E-06
-0.86375,-4.69929234,-0.005356267,-5.39E-06
-0.8635,-4.695641359,-0.005356267,-5.39E-06
-0.86325,-4.691990377,-0.005356267,-5.39E-06
-0.863,-4.688339395,-0.005356267,-5.39E-06
-0.86275,-4.688339395,-0.005356267,-5.39E-06
-0.8625,-4.684688414,-0.005356267,-5.39E-06
-0.86225,-4.681037432,-0.005356267,-5.39E-06
-0.862,-4.681037432,-0.005356267,-5.39E-06
-0.86175,-4.677386451,-0.005356267,-5.39E-06
-0.8615,-4.673735469,-0.005356267,-5.39E-06
-0.86125,-4.673735469,-0.005356267,-5.39E-06
-0.861,-4.670084488,-0.005356267,-5.39E-06
-0.86075,-4.666433506,-0.005356267,-5.39E-06
-0.8605,-4.662782524,-0.005356267,-5.39E-06
-0.86025,-4.662782524,-0.005356267,-5.39E-06
-0.86,-4.659131543,-0.005356267,-5.39E-06
-0.85975,-4.659131543,-0.005356267,-5.39E-06
-0.8595,-4.655480561,-0.005356267,-5.39E-06
-0.85925,-4.65182958,-0.005356267,-5.39E-06
-0.859,-4.648178598,-0.005356267,-5.39E-06
-0.85875,-4.648178598,-0.005356267,-5.39E-06
-0.8585,-4.644527617,-0.005356267,-5.39E-06
-0.85825,-4.640876635,-0.005356267,-5.39E-06
-0.858,-4.640876635,-0.005356267,-5.39E-06
-0.85775,-4.637225654,-0.005356267,-5.39E-06
-0.8575,-4.637225654,-0.005356267,-5.39E-06
-0.85725,-4.633574672,-0.005356267,-5.39E-06
-0.857,-4.62992369,-0.005356267,-5.39E-06
-0.85675,-4.626272709,-0.005356267,-5.39E-06
-0.8565,-4.626272709,-0.005356267,-5.39E-06
-0.85625,-4.622621727,-0.005356267,-5.39E-06
-0.856,-4.618970746,-0.005356267,-5.39E-06
-0.85575,-4.618970746,-0.005356267,-5.39E-06
-0.8555,-4.615319764,-0.005356267,-5.39E-06
-0.85525,-4.611668783,-0.005356267,-5.39E-06
-0.855,-4.611668783,-0.005356267,-5.39E-06
-0.85475,-4.608017801,-0.005356267,-5.39E-06
-0.8545,-4.60436682,-0.005356267,-5.39E-06
-0.85425,-4.600715838,-0.005356267,-5.39E-06
-0.854,-4.600715838,-0.005356267,-5.39E-06
-0.85375,-4.597064856,-0.005356267,-5.39E-06
-0.8535,-4.597064856,-0.005356267,-5.39E-06
-0.85325,-4.593413875,-0.005356267,-5.39E-06
-0.853,-4.589762893,-0.005356267,-5.39E-06
-0.85275,-4.586111912,-0.005356267,-5.39E-06
-0.8525,-4.586111912,-0.005356267,-5.39E-06
-0.85225,-4.58246093,-0.005356267,-5.39E-06
-0.852,-4.578809949,-0.005356267,-5.39E-06
-0.85175,-4.578809949,-0.005356267,-5.39E-06
-0.8515,-4.575158967,-0.005356267,-5.39E-06
-0.85125,-4.575158967,-0.005356267,-5.39E-06
-0.851,-4.571507985,-0.005356267,-5.39E-06
-0.85075,-4.567857004,-0.001689177,-1.70E-06
-0.8505,-4.567857004,-0.005356267,-5.39E-06
-0.85025,-4.564206022,-0.005356267,-5.39E-06
-0.85,-4.560555041,-0.005356267,-5.39E-06
-0.84975,-4.556904059,-0.005356267,-5.39E-06
-0.8495,-4.556904059,-0.005356267,-5.39E-06
-0.84925,-4.553253078,-0.005356267,-5.39E-06
-0.849,-4.549602096,-0.005356267,-5.39E-06
-0.84875,-4.545951115,-0.005356267,-5.39E-06
-0.8485,-4.545951115,-0.005356267,-5.39E-06
-0.84825,-4.542300133,-0.005356267,-5.39E-06
-0.848,-4.538649151,-0.005356267,-5.39E-06
-0.84775,-4.538649151,-0.005356267,-5.39E-06
-0.8475,-4.53499817,-0.005356267,-5.39E-06
-0.84725,-4.53499817,-0.005356267,-5.39E-06
-0.847,-4.531347188,-0.005356267,-5.39E-06
-0.84675,-4.527696207,-0.005356267,-5.39E-06
-0.8465,-4.524045225,-0.005356267,-5.39E-06
-0.84625,-4.524045225,-0.005356267,-5.39E-06
-0.846,-4.520394244,-0.005356267,-5.39E-06
-0.84575,-4.516743262,-0.005356267,-5.39E-06
-0.8455,-4.516743262,-0.005356267,-5.39E-06
-0.84525,-4.513092281,-0.005356267,-5.39E-06
-0.845,-4.513092281,-0.005356267,-5.39E-06
-0.84475,-4.505790317,-0.005356267,-5.39E-06
-0.8445,-4.505790317,-0.005356267,-5.39E-06
-0.84425,-4.502139336,-0.005356267,-5.39E-06
-0.844,-4.498488354,-0.005356267,-5.39E-06
-0.84375,-4.498488354,-0.005356267,-5.39E-06
-0.8435,-4.494837373,-0.005356267,-5.39E-06
-0.84325,-4.491186391,-0.005356267,-5.39E-06
-0.843,-4.491186391,-0.005356267,-5.39E-06
-0.84275,-4.48753541,-0.005356267,-5.39E-06
-0.8425,-4.483884428,-0.005356267,-5.39E-06
-0.84225,-4.483884428,-0.005356267,-5.39E-06
-0.842,-4.480233446,-0.005356267,-5.39E-06
-0.84175,-4.476582465,-0.005356267,-5.39E-06
-0.8415,-4.476582465,-0.005356267,-5.39E-06
-0.84125,-4.472931483,-0.005356267,-5.39E-06
-0.841,-4.469280502,-0.005356267,-5.39E-06
-0.84075,-4.46562952,-0.005356267,-5.39E-06
-0.8405,-4.46562952,-0.005356267,-5.39E-06
-0.84025,-4.461978539,-0.005356267,-5.39E-06
-0.84,-4.458327557,-0.005356267,-5.39E-06
-0.83975,-4.458327557,-0.005356267,-5.39E-06
-0.8395,-4.454676576,-0.005356267,-5.39E-06
-0.83925,-4.451025594,-0.005356267,-5.39E-06
-0.839,-4.447374612,-0.005356267,-5.39E-06
-0.83875,-4.447374612,-0.005356267,-5.39E-06
-0.8385,-4.443723631,-0.005356267,-5.39E-06
-0.83825,-4.440072649,-0.001689177,-1.70E-06
-0.838,-4.440072649,-0.005356267,-5.39E-06
-0.83775,-4.436421668,-0.001689177,-1.70E-06
-0.8375,-4.432770686,-0.001689177,-1.70E-06
-0.83725,-4.429119705,-0.001689177,-1.70E-06
-0.837,-4.429119705,-0.001689177,-1.70E-06
-0.83675,-4.425468723,-0.005356267,-5.39E-06
-0.8365,-4.421817741,-0.005356267,-5.39E-06
-0.83625,-4.41816676,-0.005356267,-5.39E-06
-0.836,-4.41816676,-0.005356267,-5.39E-06
-0.83575,-4.414515778,-0.005356267,-5.39E-06
-0.8355,-4.414515778,-0.005356267,-5.39E-06
-0.83525,-4.410864797,-0.001689177,-1.70E-06
-0.835,-4.407213815,-0.001689177,-1.70E-06
-0.83475,-4.403562834,-0.001689177,-1.70E-06
-0.8345,-4.403562834,-0.005356267,-5.39E-06
-0.83425,-4.399911852,-0.001689177,-1.70E-06
-0.834,-4.396260871,-0.001689177,-1.70E-06
-0.83375,-4.396260871,-0.005356267,-5.39E-06
-0.8335,-4.392609889,-0.005356267,-5.39E-06
-0.83325,-4.388958907,-0.001689177,-1.70E-06
-0.833,-4.388958907,-0.001689177,-1.70E-06
-0.83275,-4.385307926,-0.005356267,-5.39E-06
-0.8325,-4.381656944,-0.005356267,-5.39E-06
-0.83225,-4.381656944,-0.005356267,-5.39E-06
-0.832,-4.378005963,-0.001689177,-1.70E-06
-0.83175,-4.374354981,-0.001689177,-1.70E-06
-0.8315,-4.370704,-0.001689177,-1.70E-06
-0.83125,-4.370704,-0.005356267,-5.39E-06
-0.831,-4.367053018,-0.001689177,-1.70E-06
-0.83075,-4.367053018,-0.001689177,-1.70E-06
-0.8305,-4.363402037,-0.005356267,-5.39E-06
-0.83025,-4.359751055,-0.005356267,-5.39E-06
-0.83,-4.359751055,-0.001689177,-1.70E-06
-0.82975,-4.356100073,-0.001689177,-1.70E-06
-0.8295,-4.352449092,-0.005356267,-5.39E-06
-0.82925,-4.34879811,-0.005356267,-5.39E-06
-0.829,-4.34879811,-0.005356267,-5.39E-06
-0.82875,-4.345147129,-0.001689177,-1.70E-06
-0.8285,-4.341496147,-0.005356267,-5.39E-06
-0.82825,-4.341496147,-0.005356267,-5.39E-06
-0.828,-4.337845166,-0.001689177,-1.70E-06
-0.82775,-4.334194184,-0.005356267,-5.39E-06
-0.8275,-4.334194184,-0.005356267,-5.39E-06
-0.82725,-4.330543202,-0.001689177,-1.70E-06
-0.827,-4.330543202,-0.001689177,-1.70E-06
-0.82675,-4.326892221,-0.005356267,-5.39E-06
-0.8265,-4.323241239,-0.005356267,-5.39E-06
-0.82625,-4.319590258,-0.005356267,-5.39E-06
-0.826,-4.319590258,-0.005356267,-5.39E-06
-0.82575,-4.315939276,-0.001689177,-1.70E-06
-0.8255,-4.312288295,-0.001689177,-1.70E-06
-0.82525,-4.312288295,-0.005356267,-5.39E-06
-0.825,-4.308637313,-0.005356267,-5.39E-06
-0.82475,-4.304986332,-0.001689177,-1.70E-06
-0.8245,-4.304986332,-0.001689177,-1.70E-06
-0.82425,-4.30133535,-0.001689177,-1.70E-06
-0.824,-4.297684368,-0.001689177,-1.70E-06
-0.82375,-4.297684368,-0.001689177,-1.70E-06
-0.8235,-4.294033387,-0.005356267,-5.39E-06
-0.82325,-4.290382405,-0.001689177,-1.70E-06
-0.823,-4.290382405,-0.005356267,-5.39E-06
-0.82275,-4.286731424,-0.005356267,-5.39E-06
-0.8225,-4.283080442,-0.005356267,-5.39E-06
-0.82225,-4.279429461,-0.005356267,-5.39E-06
-0.822,-4.279429461,-0.005356267,-5.39E-06
-0.82175,-4.275778479,-0.001689177,-1.70E-06
-0.8215,-4.272127498,-0.005356267,-5.39E-06
-0.82125,-4.268476516,-0.005356267,-5.39E-06
-0.821,-4.268476516,-0.005356267,-5.39E-06
-0.82075,-4.264825534,-0.005356267,-5.39E-06
-0.8205,-4.264825534,-0.005356267,-5.39E-06
-0.82025,-4.261174553,-0.001689177,-1.70E-06
-0.82,-4.257523571,-0.005356267,-5.39E-06
-0.81975,-4.257523571,-0.001689177,-1.70E-06
-0.8195,-4.25387259,-0.005356267,-5.39E-06
-0.81925,-4.250221608,-0.005356267,-5.39E-06
-0.819,-4.246570627,-0.005356267,-5.39E-06
-0.81875,-4.246570627,-0.005356267,-5.39E-06
-0.8185,-4.242919645,-0.005356267,-5.39E-06
-0.81825,-4.242919645,-0.005356267,-5.39E-06
-0.818,-4.239268663,-0.005356267,-5.39E-06
-0.81775,-4.235617682,-0.005356267,-5.39E-06
-0.8175,-4.235617682,-0.005356267,-5.39E-06
-0.81725,-4.2319667,-0.005356267,-5.39E-06
-0.817,-4.228315719,-0.005356267,-5.39E-06
-0.81675,-4.228315719,-0.005356267,-5.39E-06
-0.8165,-4.224664737,-0.001689177,-1.70E-06
-0.81625,-4.221013756,-0.005356267,-5.39E-06
-0.816,-4.217362774,-0.005356267,-5.39E-06
-0.81575,-4.217362774,-0.001689177,-1.70E-06
-0.8155,-4.213711793,-0.001689177,-1.70E-06
-0.81525,-4.213711793,-0.005356267,-5.39E-06
-0.815,-4.210060811,-0.005356267,-5.39E-06
-0.81475,-4.206409829,-0.005356267,-5.39E-06
-0.8145,-4.206409829,-0.005356267,-5.39E-06
-0.81425,-4.202758848,-0.005356267,-5.39E-06
-0.814,-4.199107866,-0.005356267,-5.39E-06
-0.81375,-4.199107866,-0.005356267,-5.39E-06
-0.8135,-4.195456885,-0.005356267,-5.39E-06
-0.81325,-4.191805903,-0.005356267,-5.39E-06
-0.813,-4.191805903,-0.005356267,-5.39E-06
-0.81275,-4.188154922,-0.005356267,-5.39E-06
-0.8125,-4.18450394,-0.005356267,-5.39E-06
-0.81225,-4.180852959,-0.005356267,-5.39E-06
-0.812,-4.180852959,-0.005356267,-5.39E-06
-0.81175,-4.177201977,-0.005356267,-5.39E-06
-0.8115,-4.177201977,-0.005356267,-5.39E-06
-0.81125,-4.173550995,-0.001689177,-1.70E-06
-0.811,-4.169900014,-0.001689177,-1.70E-06
-0.81075,-4.169900014,-0.001689177,-1.70E-06
-0.8105,-4.166249032,-0.005356267,-5.39E-06
-0.81025,-4.162598051,-0.005356267,-5.39E-06
-0.81,-4.158947069,-0.005356267,-5.39E-06
-0.80975,-4.158947069,-0.005356267,-5.39E-06
-0.8095,-4.155296088,-0.005356267,-5.39E-06
-0.80925,-4.155296088,-0.005356267,-5.39E-06
-0.809,-4.151645106,-0.005356267,-5.39E-06
-0.80875,-4.147994124,-0.005356267,-5.39E-06
-0.8085,-4.144343143,-0.005356267,-5.39E-06
-0.80825,-4.144343143,-0.005356267,-5.39E-06
-0.808,-4.140692161,-0.005356267,-5.39E-06
-0.80775,-4.13704118,-0.005356267,-5.39E-06
-0.8075,-4.13704118,-0.005356267,-5.39E-06
-0.80725,-4.133390198,-0.005356267,-5.39E-06
-0.807,-4.129739217,-0.001689177,-1.70E-06
-0.80675,-4.126088235,-0.005356267,-5.39E-06
-0.8065,-4.126088235,-0.005356267,-5.39E-06
-0.80625,-4.122437254,-0.005356267,-5.39E-06
-0.806,-4.118786272,-0.005356267,-5.39E-06
-0.80575,-4.118786272,-0.001689177,-1.70E-06
-0.8055,-4.11513529,-0.001689177,-1.70E-06
-0.80525,-4.11513529,-0.005356267,-5.39E-06
-0.805,-4.111484309,-0.005356267,-5.39E-06
-0.80475,-4.107833327,-0.005356267,-5.39E-06
-0.8045,-4.104182346,-0.005356267,-5.39E-06
-0.80425,-4.104182346,-0.005356267,-5.39E-06
-0.804,-4.100531364,-0.001689177,-1.70E-06
-0.80375,-4.096880383,-0.005356267,-5.39E-06
-0.8035,-4.096880383,-0.005356267,-5.39E-06
-0.80325,-4.093229401,-0.005356267,-5.39E-06
-0.803,-4.089578419,-0.005356267,-5.39E-06
-0.80275,-4.089578419,-0.005356267,-5.39E-06
-0.8025,-4.085927438,-0.001689177,-1.70E-06
-0.80225,-4.082276456,-0.005356267,-5.39E-06
-0.802,-4.082276456,-0.005356267,-5.39E-06
-0.80175,-4.078625475,-0.005356267,-5.39E-06
-0.8015,-4.078625475,-0.005356267,-5.39E-06
-0.80125,-4.074974493,-0.005356267,-5.39E-06
-0.801,-4.071323512,-0.001689177,-1.70E-06
-0.80075,-4.06767253,-0.005356267,-5.39E-06
-0.8005,-4.06767253,-0.005356267,-5.39E-06
-0.80025,-4.064021549,-0.005356267,-5.39E-06
-0.8,-4.060370567,-0.005356267,-5.39E-06
-0.79975,-4.060370567,-0.005356267,-5.39E-06
-0.7995,-4.056719585,-0.005356267,-5.39E-06
-0.79925,-4.053068604,-0.005356267,-5.39E-06
-0.799,-4.053068604,-0.005356267,-5.39E-06
-0.79875,-4.049417622,-0.005356267,-5.39E-06
-0.7985,-4.045766641,-0.005356267,-5.39E-06
-0.79825,-4.045766641,-0.005356267,-5.39E-06
-0.798,-4.042115659,-0.005356267,-5.39E-06
-0.79775,-4.038464678,-0.005356267,-5.39E-06
-0.7975,-4.038464678,-0.005356267,-5.39E-06
-0.79725,-4.034813696,-0.005356267,-5.39E-06
-0.797,-4.031162715,-0.001689177,-1.70E-06
-0.79675,-4.031162715,-0.005356267,-5.39E-06
-0.7965,-4.027511733,-0.005356267,-5.39E-06
-0.79625,-4.023860751,-0.005356267,-5.39E-06
-0.796,-4.023860751,-0.005356267,-5.39E-06
-0.79575,-4.02020977,-0.005356267,-5.39E-06
-0.7955,-4.016558788,-0.005356267,-5.39E-06
-0.79525,-4.012907807,-0.005356267,-5.39E-06
-0.795,-4.012907807,-0.005356267,-5.39E-06
-0.79475,-4.009256825,-0.001689177,-1.70E-06
-0.7945,-4.005605844,-0.005356267,-5.39E-06
-0.79425,-4.005605844,-0.005356267,-5.39E-06
-0.794,-4.001954862,-0.001689177,-1.70E-06
-0.79375,-3.99830388,-0.005356267,-5.39E-06
-0.7935,-3.994652899,-0.001689177,-1.70E-06
-0.79325,-3.994652899,-0.001689177,-1.70E-06
-0.793,-3.991001917,-0.005356267,-5.39E-06
-0.79275,-3.991001917,-0.001689177,-1.70E-06
-0.7925,-3.983699954,-0.001689177,-1.70E-06
-0.79225,-3.983699954,-0.005356267,-5.39E-06
-0.792,-3.980048973,-0.001689177,-1.70E-06
-0.79175,-3.976397991,-0.001689177,-1.70E-06
-0.7915,-3.976397991,-0.005356267,-5.39E-06
-0.79125,-3.97274701,-0.005356267,-5.39E-06
-0.791,-3.969096028,-0.005356267,-5.39E-06
-0.79075,-3.969096028,-0.005356267,-5.39E-06
-0.7905,-3.965445046,-0.005356267,-5.39E-06
-0.79025,-3.961794065,-0.005356267,-5.39E-06
-0.79,-3.961794065,-0.005356267,-5.39E-06
-0.78975,-3.958143083,-0.005356267,-5.39E-06
-0.7895,-3.954492102,-0.001689177,-1.70E-06
-0.78925,-3.95084112,-0.005356267,-5.39E-06
-0.789,-3.95084112,-0.005356267,-5.39E-06
-0.78875,-3.947190139,-0.005356267,-5.39E-06
-0.7885,-3.943539157,-0.001689177,-1.70E-06
-0.78825,-3.943539157,-0.001689177,-1.70E-06
-0.788,-3.939888176,-0.001689177,-1.70E-06
-0.78775,-3.936237194,-0.001689177,-1.70E-06
-0.7875,-3.936237194,-0.001689177,-1.70E-06
-0.78725,-3.932586212,-0.001689177,-1.70E-06
-0.787,-3.928935231,-0.005356267,-5.39E-06
-0.78675,-3.925284249,-0.001689177,-1.70E-06
-0.7865,-3.925284249,-0.001689177,-1.70E-06
-0.78625,-3.925284249,-0.005356267,-5.39E-06
-0.786,-3.921633268,-0.001689177,-1.70E-06
-0.78575,-3.917982286,-0.001689177,-1.70E-06
-0.7855,-3.917982286,-0.001689177,-1.70E-06
-0.78525,-3.910680323,-0.001689177,-1.70E-06
-0.785,-3.910680323,-0.005356267,-5.39E-06
-0.78475,-3.910680323,-0.005356267,-5.39E-06
-0.7845,-3.907029341,-0.001689177,-1.70E-06
-0.78425,-3.90337836,-0.005356267,-5.39E-06
-0.784,-3.899727378,-0.005356267,-5.39E-06
-0.78375,-3.899727378,-0.001689177,-1.70E-06
-0.7835,-3.896076397,-0.001689177,-1.70E-06
-0.78325,-3.892425415,-0.005356267,-5.39E-06
-0.783,-3.888774434,-0.005356267,-5.39E-06
-0.78275,-3.888774434,-0.001689177,-1.70E-06
-0.7825,-3.885123452,-0.001689177,-1.70E-06
-0.78225,-3.885123452,-0.001689177,-1.70E-06
-0.782,-3.881472471,-0.005356267,-5.39E-06
-0.78175,-3.877821489,-0.005356267,-5.39E-06
-0.7815,-3.874170507,-0.001689177,-1.70E-06
-0.78125,-3.874170507,-0.005356267,-5.39E-06
-0.781,-3.870519526,-0.001689177,-1.70E-06
-0.78075,-3.866868544,-0.001689177,-1.70E-06
-0.7805,-3.866868544,-0.001689177,-1.70E-06
-0.78025,-3.863217563,-0.001689177,-1.70E-06
-0.78,-3.859566581,-0.001689177,-1.70E-06
-0.77975,-3.8559156,-0.005356267,-5.39E-06
-0.7795,-3.8559156,-0.001689177,-1.70E-06
-0.77925,-3.8559156,-0.001689177,-1.70E-06
-0.779,-3.852264618,-0.001689177,-1.70E-06
-0.77875,-3.848613636,-0.001689177,-1.70E-06
-0.7785,-3.844962655,-0.001689177,-1.70E-06
-0.77825,-3.841311673,-0.005356267,-5.39E-06
-0.778,-3.837660692,-0.005356267,-5.39E-06
-0.77775,-3.837660692,-0.001689177,-1.70E-06
-0.7775,-3.83400971,-0.005356267,-5.39E-06
-0.77725,-3.83400971,-0.001689177,-1.70E-06
-0.777,-3.830358729,-0.001689177,-1.70E-06
